time,amplitude,k,ReX,ImX,ReXBar,ImXBar,Frequency
0.0,8.0,0,-6.756277664585303,0.0,-0.07,-0.0,0.0
0.01,8.88224215458741,1,-6.742945693938916,-50.42423018464383,-0.13,1.01,1.0
0.02,9.382494102237938,2,143.2969976028026,-100.84678612656056,2.87,2.02,2.0
0.03,9.50111019464288,3,-6.636605412304125,-201.266000190496,-0.13,4.03,3.0
0.04,9.258439674109614,4,243.45598322217262,-1.680217930058022,4.87,0.03,4.0
0.05,8.692791431459263,5,-6.425601898804533,-2.0878046170724884,-0.13,0.04,5.0
0.060000000000000005,7.857385454316934,6,-6.2818281046641244,-2.4871516930889364,-0.13,0.05,6.0
0.07,6.81650381794862,7,-6.113262804889476,-2.876683117644106,-0.12,0.06,7.0
0.08,5.641100365930458,8,-5.920571249707905,-3.2548615881655296,-0.12,0.07,8.0
0.09,4.404157631120716,9,-5.704513904655534,-3.6201946070030475,-0.11,0.07,9.0
0.09999999999999999,3.1760903613135003,10,-5.4659434493658825,-3.9712403716364015,-0.11,0.08,10.0
0.10999999999999999,2.020486725697441,11,-5.205801412433972,-4.306613464810075,-0.1,0.09,11.0
0.11999999999999998,0.9904515859039424,12,-4.925114455631137,-4.624990322142794,-0.1,0.09,12.0
0.12999999999999998,0.12577297811238708,13,-4.624990322142892,-4.925114455630843,-0.09,0.1,13.0
0.13999999999999999,-0.5489239325584023,14,-4.306613464810134,-5.205801412433704,-0.09,0.1,14.0
0.15,-1.024937950534535,15,-3.97124037163651,-5.465943449365955,-0.08,0.11,15.0
0.16,-1.3091428587473952,16,-3.620194607002947,-5.704513904655481,-0.07,0.11,16.0
0.17,-1.4225763898317112,17,-3.254861588165452,-5.920571249707456,-0.07,0.12,17.0
0.18000000000000002,-1.3980845528165142,18,-2.8766831176444554,-6.113262804889071,-0.06,0.12,18.0
0.19000000000000003,-1.2771997531323303,19,-2.4871516930891824,-6.281828104664056,-0.05,0.13,19.0
0.20000000000000004,-1.1064799995398982,20,-2.0878046170728437,-6.425601898803956,-0.04,0.13,20.0
0.21000000000000005,-0.9335700655901902,21,-1.6802179300603934,-6.5440167778271086,-0.03,0.13,21.0
0.22000000000000006,-0.8032616664677121,22,-1.2660001904961886,-6.636605412305752,-0.03,0.13,22.0
0.23000000000000007,-0.7538275510753927,23,-0.8467861265608461,-6.703002397197833,-0.02,0.13,23.0
0.24000000000000007,-0.8138841056581532,24,-0.4242301846431129,-6.7429456939393395,-0.01,0.13,24.0
0.25000000000000006,-1.0000000000000018,25,2.540190280342358e-13,-6.7562776645855225,0.0,0.14,25.0
0.26000000000000006,-1.3152170399153702,26,0.4242301846432577,-6.742945693939439,0.01,0.13,26.0
0.2700000000000001,-1.7485870997348147,27,0.8467861265605343,-6.703002397197938,0.02,0.13,27.0
0.2800000000000001,-2.2757598772064282,28,1.2660001904965457,-6.636605412305328,0.03,0.13,28.0
0.2900000000000001,-2.860584761997058,29,1.6802179300601363,-6.5440167778275535,0.03,0.13,29.0
0.3000000000000001,-3.457621008709797,30,2.0878046170725755,-6.425601898803581,0.04,0.13,30.0
0.3100000000000001,-4.01538817684709,31,2.4871516930888764,-6.281828104664042,0.05,0.13,31.0
0.3200000000000001,-4.480137523919672,32,2.876683117644285,-6.113262804889589,0.06,0.12,32.0
0.3300000000000001,-4.799888091839776,33,3.2548615881655873,-5.920571249707516,0.07,0.12,33.0
0.34000000000000014,-4.928451068611472,34,3.62019460700248,-5.70451390465589,0.07,0.11,34.0
0.35000000000000014,-4.829164015715147,35,3.9712403716370823,-5.4659434493664225,0.08,0.11,35.0
0.36000000000000015,-4.478072935473152,36,4.306613464809972,-5.20580141243385,0.09,0.1,36.0
0.37000000000000016,-3.8663339356006903,37,4.6249903221426605,-4.925114455631308,0.09,0.1,37.0
0.38000000000000017,-3.0016553278091314,38,4.925114455630769,-4.6249903221429385,0.1,0.09,38.0
0.3900000000000002,-1.908662277217294,39,5.20580141243363,-4.30661346480999,0.1,0.09,39.0
0.4000000000000002,-0.628135703867089,40,5.4659434493655565,-3.9712403716363864,0.11,0.08,40.0
0.4100000000000002,0.7848494212566686,41,5.704513904655155,-3.620194607004092,0.11,0.07,41.0
0.4200000000000002,2.2637886639224316,42,5.920571249707413,-3.254861588165828,0.12,0.07,42.0
0.4300000000000002,3.734450846845488,43,6.113262804889125,-2.8766831176445655,0.12,0.06,43.0
0.4400000000000002,5.119197030602202,44,6.281828104663735,-2.4871516930891904,0.13,0.05,44.0
0.45000000000000023,6.341650422289393,45,6.425601898803215,-2.087804617073277,0.13,0.04,45.0
0.46000000000000024,7.3314249777027705,46,6.54401677782736,-1.680217930060658,0.13,0.03,46.0
0.47000000000000025,8.028611983904177,47,6.63660541230578,-1.2660001904958478,0.13,0.03,47.0
0.48000000000000026,8.387734553578518,48,6.703002397198148,-0.8467861265613132,0.13,0.02,48.0
0.49000000000000027,8.380909220330189,49,6.742945693939293,-0.4242301846435734,0.13,0.01,49.0
0.5000000000000002,7.999999999999991,50,0.0,0.0,0.0,0.0,0.0
0.5100000000000002,7.257610598842967,51,0.0,0.0,0.0,0.0,0.0
0.5200000000000002,6.186831213631876,52,0.0,0.0,0.0,0.0,0.0
0.5300000000000002,4.839733205639426,53,0.0,0.0,0.0,0.0,0.0
0.5400000000000003,3.284683052350356,54,0.0,0.0,0.0,0.0,0.0
0.5500000000000003,1.6026214877097436,55,0.0,0.0,0.0,0.0,0.0
0.5600000000000003,-0.11748007078062528,56,0.0,0.0,0.0,0.0,0.0
0.5700000000000003,-1.7837200542106184,57,0.0,0.0,0.0,0.0,0.0
0.5800000000000003,-3.306620809699188,58,0.0,0.0,0.0,0.0,0.0
0.5900000000000003,-4.604413569353127,59,0.0,0.0,0.0,0.0,0.0
0.6000000000000003,-5.607932273632697,60,0.0,0.0,0.0,0.0,0.0
0.6100000000000003,-6.2648146941508625,61,0.0,0.0,0.0,0.0,0.0
0.6200000000000003,-6.542748568159752,62,0.0,0.0,0.0,0.0,0.0
0.6300000000000003,-6.431556194719948,63,0.0,0.0,0.0,0.0,0.0
0.6400000000000003,-5.9439798109236825,64,0.0,0.0,0.0,0.0,0.0
0.6500000000000004,-5.115107894283974,65,0.0,0.0,0.0,0.0,0.0
0.6600000000000004,-4.000464578265821,66,0.0,0.0,0.0,0.0,0.0
0.6700000000000004,-2.6728655936848895,67,0.0,0.0,0.0,0.0,0.0
0.6800000000000004,-1.2182195604296593,68,0.0,0.0,0.0,0.0,0.0
0.6900000000000004,0.2694816076118015,69,0.0,0.0,0.0,0.0,0.0
0.7000000000000004,1.6936889862096312,70,0.0,0.0,0.0,0.0,0.0
0.7100000000000004,2.9610126315238796,71,0.0,0.0,0.0,0.0,0.0
0.7200000000000004,3.9867872360910686,72,0.0,0.0,0.0,0.0,0.0
0.7300000000000004,4.700154933401682,73,0.0,0.0,0.0,0.0,0.0
0.7400000000000004,5.04836044331482,74,0.0,0.0,0.0,0.0,0.0
0.7500000000000004,4.99999999999999,75,0.0,0.0,0.0,0.0,0.0
0.7600000000000005,4.547027509057566,76,0.0,0.0,0.0,0.0,0.0
0.7700000000000005,3.705395384742199,77,0.0,0.0,0.0,0.0,0.0
0.7800000000000005,2.514289025352253,78,0.0,0.0,0.0,0.0,0.0
0.7900000000000005,1.0339979351169073,79,0.0,0.0,0.0,0.0,0.0
0.8000000000000005,-0.6574520229603844,80,0.0,0.0,0.0,0.0,0.0
0.8100000000000005,-2.4687068161030936,81,0.0,0.0,0.0,0.0,0.0
0.8200000000000005,-4.300272531532953,82,0.0,0.0,0.0,0.0,0.0
0.8300000000000005,-6.050177295693073,83,0.0,0.0,0.0,0.0,0.0
0.8400000000000005,-7.619772788130006,84,0.0,0.0,0.0,0.0,0.0
0.8500000000000005,-8.919333959464677,85,0.0,0.0,0.0,0.0,0.0
0.8600000000000005,-9.873128813838502,86,0.0,0.0,0.0,0.0,0.0
0.8700000000000006,-10.423663108433058,87,0.0,0.0,0.0,0.0,0.0
0.8800000000000006,-10.534855481872828,88,0.0,0.0,0.0,0.0,0.0
0.8900000000000006,-10.193963697065572,89,0.0,0.0,0.0,0.0,0.0
0.9000000000000006,-9.412158338813237,90,0.0,0.0,0.0,0.0,0.0
0.9100000000000006,-8.223721779217092,91,0.0,0.0,0.0,0.0,0.0
0.9200000000000006,-6.68393251170711,92,0.0,0.0,0.0,0.0,0.0
0.9300000000000006,-4.865773025313632,93,0.0,0.0,0.0,0.0,0.0
0.9400000000000006,-2.8556684944952138,94,0.0,0.0,0.0,0.0,0.0
0.9500000000000006,-0.748519521459988,95,0.0,0.0,0.0,0.0,0.0
0.9600000000000006,1.3576683559436584,96,0.0,0.0,0.0,0.0,0.0
0.9700000000000006,3.367234994900849,97,0.0,0.0,0.0,0.0,0.0
0.9800000000000006,5.192071664972595,98,0.0,0.0,0.0,0.0,0.0
0.9900000000000007,6.756277664585851,99,0.0,0.0,0.0,0.0,0.0
1.0000000000000007,8.000000000000075,100,0.0,0.0,0.0,0.0,0.0
